name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66780021201,200912,201712
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66914103505,200905,201206
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,68258894802,201206,201409
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,2021007,200905,201011
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,2021009,200905,201011
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,310651201,201501,202603
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,310651285,201805,202004
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,54868538400,200905,201907
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,54868538402,201004,201212
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,66029021007,200905,201206
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,66780021007,200905,201712
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,66780021009,200905,201605
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,66914103504,200905,201206
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,68258894701,201206,201409
exenatide,60548,847910,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector,"exenatide 250 MCG/ML Pen Injector, 2.4 ML",SCD,direct,847910,70121168601,202501,202603
exenatide,60548,847915,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,"exenatide 250 MCG/ML Pen Injector, 1.2 ML",SCD,direct,847915,70121168501,202501,202603
liraglutide,475968,1598268,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],Weight Management Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280013,201502,201610
liraglutide,475968,1598268,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],Weight Management Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280015,201502,202603
liraglutide,475968,1598268,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],Weight Management Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280090,201502,202603
liraglutide,475968,1598268,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],Weight Management Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280097,201505,202603
liraglutide,475968,1598268,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],Weight Management Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,50090425700,202007,202603
