"","name","F1_rxnormId","F2_rxcui","F2_name","F2_synonym","F2_tty","F3_status","F3_rxcui","F3_ndc","F3_startDate","F3_endDate"
"30","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66029021008",200905,201206
"31","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66780021008",200905,201212
"32","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66780021201",200912,201712
"33","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66914103505",200905,201206
"34","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"68258894802",201206,201409
"35","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00002021007",200905,201011
"36","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00002021009",200905,201011
"37","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00310651201",201501,202603
"38","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00310651285",201805,202004
"39","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"54868538400",200905,201907
"40","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"54868538402",201004,201212
"41","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66029021007",200905,201206
"42","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66780021007",200905,201712
"43","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66780021009",200905,201605
"44","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66914103504",200905,201206
"45","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"68258894701",201206,201409
"46","exenatide",60548,847910,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector","exenatide 250 MCG/ML Pen Injector, 2.4 ML","SCD","direct",847910,"70121168601",202501,202603
"47","exenatide",60548,847915,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector","exenatide 250 MCG/ML Pen Injector, 1.2 ML","SCD","direct",847915,"70121168501",202501,202603
"48","liraglutide",475968,1598268,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]","Weight Management Saxenda 6 MG/ML Pen Injector","SBD","direct",1598268,"00169280013",201502,201610
"49","liraglutide",475968,1598268,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]","Weight Management Saxenda 6 MG/ML Pen Injector","SBD","direct",1598268,"00169280015",201502,202603
"50","liraglutide",475968,1598268,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]","Weight Management Saxenda 6 MG/ML Pen Injector","SBD","direct",1598268,"00169280090",201502,202603
"51","liraglutide",475968,1598268,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]","Weight Management Saxenda 6 MG/ML Pen Injector","SBD","direct",1598268,"00169280097",201505,202603
"52","liraglutide",475968,1598268,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]","Weight Management Saxenda 6 MG/ML Pen Injector","SBD","direct",1598268,"50090425700",202007,202603
"53","liraglutide",475968,1860172,"3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy]","Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector","SBD","direct",1860172,"00169291115",201701,202603
"54","liraglutide",475968,1860172,"3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy]","Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector","SBD","direct",1860172,"00169291190",201701,202603
"55","liraglutide",475968,1860172,"3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy]","Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector","SBD","direct",1860172,"00169291197",201701,202603
"56","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406012",201002,202603
"57","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406013",201002,202603
"58","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406090",201003,202603
"59","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406097",201012,202004
"60","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406098",201305,202004
"61","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"00169406099",201503,202603
"62","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"50090285300",201703,202603
"63","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"50090450300",201911,202603
"64","liraglutide",475968,897126,"3 ML liraglutide 6 MG/ML Pen Injector [Victoza]","3 ML Victoza 6 MG/ML Pen Injector","SBD","direct",897126,"54569650700",201407,201706
"65","liraglutide",475968,2735350,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Weight Management Pen Injector","SCD","direct",2735350,"00480725019",202603,202603
"66","liraglutide",475968,2735350,"Weight Management 3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Weight Management Pen Injector","SCD","direct",2735350,"00480725046",202603,202603
